,numactive
2020-01-31,4.0
2020-02-01,4.0
2020-02-02,4.0
2020-02-03,4.0
2020-02-04,4.0
2020-02-05,4.0
2020-02-06,4.0
2020-02-07,4.0
2020-02-08,7.0
2020-02-09,7.0
2020-02-10,7.0
2020-02-11,7.0
2020-02-12,7.0
2020-02-13,7.0
2020-02-14,7.0
2020-02-15,7.0
2020-02-16,8.0
2020-02-17,8.0
2020-02-18,8.0
2020-02-19,8.0
2020-02-20,8.0
2020-02-21,9.0
2020-02-22,9.0
2020-02-23,9.0
2020-02-24,10.0
2020-02-25,11.0
2020-02-26,12.0
2020-02-27,13.0
2020-02-28,13.0
2020-02-29,15.0
2020-03-01,23.0
2020-03-02,23.0
2020-03-03,32.0
2020-03-04,32.0
2020-03-05,43.0
2020-03-06,49.0
2020-03-07,55.0
2020-03-08,58.0
2020-03-09,72.0
2020-03-10,72.0
2020-03-11,94.0
2020-03-12,126.0
2020-03-13,160.0
2020-03-14,180.0
2020-03-15,227.0
2020-03-16,297.0
2020-03-17,382.0
2020-03-18,515.0
2020-03-19,741.0
2020-03-20,853.0
2020-03-21,1136.0
2020-03-22,1234.0
2020-03-23,1443.0
2020-03-24,1756.0
2020-03-25,2041.0
2020-03-26,2155.0
2020-03-27,2404.0
2020-03-28,2418.0
2020-03-29,2886.0
2020-03-30,2904.0
2020-03-31,3096.0
2020-04-01,3402.0
2020-04-02,3904.0
2020-04-03,5669.0
2020-04-04,6046.0
2020-04-05,5035.0
2020-04-06,4868.0
2020-04-07,7544.0
2020-04-08,8160.0
2020-04-09,8702.0
2020-04-10,9251.0
2020-04-11,9744.0
2020-04-12,10230.0
2020-04-13,10764.0
2020-04-14,11392.0
2020-04-15,12028.0
2020-04-16,12704.0
2020-04-17,13497.0
2020-04-18,7295.0
2020-04-19,7482.0
2020-04-20,8010.0
2020-04-21,8350.0
2020-04-22,8677.0
2020-04-23,9079.0
2020-04-24,9480.0
2020-04-25,9687.0
2020-04-26,9751.0
2020-04-27,9646.0
2020-04-28,9689.0
2020-04-29,9476.0
2020-04-30,9234.0
2020-05-01,8979.0
2020-05-02,8778.0
2020-05-03,8468.0
2020-05-04,8123.0
2020-05-05,7901.0
2020-05-06,7547.0
2020-05-07,7320.0
2020-05-08,7129.0
2020-05-09,6815.0
2020-05-10,6601.0
2020-05-11,6228.0
2020-05-12,5895.0
2020-05-13,5556.0
2020-05-14,5368.0
2020-05-15,5163.0
2020-05-16,5111.0
2020-05-17,5053.0
2020-05-18,4993.0
2020-05-19,5084.0
2020-05-20,5152.0
2020-05-21,5076.0
2020-05-22,5166.0
2020-05-23,5094.0
2020-05-24,5181.0
2020-05-25,5254.0
2020-05-26,5196.0
2020-05-27,4985.0
2020-05-28,5000.0
2020-05-29,4945.0
2020-05-30,4859.0
2020-05-31,4688.0
2020-06-01,4544.0
2020-06-02,4581.0
2020-06-03,4547.0
2020-06-04,4428.0
2020-06-05,4365.0
2020-06-06,4430.0
2020-06-07,4510.0
2020-06-08,4508.0
2020-06-09,4390.0
2020-06-10,4107.0
2020-06-11,3797.0
2020-06-12,3676.0
2020-06-13,3601.0
2020-06-14,3381.0
