"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147","COL148","COL149","COL150","COL151","COL152","COL153","COL154","COL155","COL156","COL157","COL158","COL159","COL160","COL161","COL162","COL163","COL164","COL165","COL166","COL167","COL168","COL169","COL170","COL171","COL172","COL173","COL174","COL175","COL176","COL177","COL178","COL179","COL180"
"M1B","M1B",66108.00,66110.00,38.90,100.00,20230.00,65820.00,3.30,54575.00,65845.00,54300.00,54300.00,54305.00,54305.00,20230.00,20230.00,13.40,8820.00,17.40,11445.00,65915.00,57920.00,13125.00,44790.00,7995.00,65915.00,25185.00,39490.00,7335.00,6410.00,11735.00,10385.00,5350.00,5035.00,3625.00,1235.00,39495.00,2445.00,5995.00,9395.00,16780.00,4880.00,39490.00,10990.00,0.00,85.00,125.00,3640.00,165.00,3500.00,50.00,35.00,1670.00,265.00,1460.00,1740.00,15.00,15.00,20.00,135.00,90.00,15.00,30.00,160.00,35.00,165.00,100.00,70.00,10.00,15.00,0.00,560.00,310.00,1710.00,20.00,95.00,225.00,175.00,15.00,220.00,135.00,115.00,725.00,24945.00,480.00,720.00,1575.00,955.00,4530.00,110.00,65.00,25.00,80.00,65.00,2090.00,5155.00,7620.00,130.00,50.00,370.00,935.00,100.00,3625.00,630.00,0.00,10.00,15.00,50.00,165.00,10.00,65.00,0.00,315.00,55.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,10.00,35.00,155.00,10.00,0.00,0.00,0.00,0.00,20.00,30.00,0.00,15.00,0.00,0.00,0.00,85.00,2775.00,80.00,135.00,230.00,0.00,585.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,295.00,655.00,20.00,565.00,115.00,10.00,0.00,30.00,25.00,20.00,10.00,0.00,10.00,65915.00,40990.00,20100.00,4825.00,32640.00,11700.00,5035.00,6665.00,13990.00,6400.00,555.00,20235.00,20235.00,54380.00,54385.00,29380.00,29380.00
"M1C","M1C",35626.00,35625.00,42.10,100.00,11270.00,35310.00,3.10,30380.00,35330.00,30075.00,30070.00,30070.00,30075.00,11275.00,11275.00,7.10,2515.00,8.20,2880.00,35290.00,33235.00,6410.00,26825.00,2055.00,35290.00,19095.00,15840.00,5370.00,2895.00,3735.00,3025.00,1745.00,1275.00,815.00,350.00,15840.00,1310.00,2645.00,3860.00,6730.00,1295.00,15845.00,3595.00,35.00,40.00,35.00,1200.00,15.00,940.00,40.00,30.00,555.00,220.00,495.00,3175.00,0.00,25.00,20.00,185.00,160.00,90.00,50.00,440.00,45.00,240.00,115.00,200.00,95.00,85.00,35.00,935.00,465.00,535.00,0.00,45.00,105.00,100.00,0.00,40.00,0.00,30.00,205.00,8500.00,165.00,485.00,625.00,440.00,1845.00,110.00,45.00,30.00,105.00,60.00,435.00,1465.00,2015.00,30.00,35.00,140.00,470.00,35.00,820.00,130.00,0.00,0.00,10.00,0.00,35.00,10.00,30.00,10.00,40.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,15.00,50.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,580.00,10.00,55.00,50.00,15.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,145.00,0.00,125.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,35290.00,16315.00,10535.00,8435.00,10730.00,5040.00,1955.00,3085.00,3655.00,1885.00,145.00,11270.00,11270.00,30070.00,30070.00,16355.00,16355.00
"M1E","M1E",46943.00,46940.00,41.50,100.00,17160.00,46050.00,2.70,39370.00,46085.00,38560.00,38560.00,38560.00,38560.00,17160.00,17160.00,18.20,8365.00,22.10,10160.00,45995.00,41325.00,8520.00,32810.00,4660.00,45990.00,23335.00,21980.00,5165.00,3155.00,5445.00,5840.00,2965.00,2875.00,2370.00,675.00,21975.00,1720.00,3795.00,4915.00,9370.00,2175.00,21980.00,5825.00,20.00,25.00,80.00,1615.00,235.00,1820.00,140.00,25.00,735.00,295.00,825.00,3645.00,0.00,45.00,30.00,320.00,215.00,150.00,135.00,415.00,60.00,295.00,100.00,180.00,25.00,115.00,45.00,990.00,510.00,1570.00,0.00,20.00,255.00,65.00,0.00,270.00,105.00,60.00,780.00,10895.00,345.00,1190.00,645.00,225.00,1390.00,85.00,15.00,35.00,125.00,65.00,645.00,3195.00,1930.00,70.00,35.00,220.00,685.00,50.00,2370.00,425.00,10.00,0.00,0.00,115.00,95.00,10.00,40.00,0.00,155.00,135.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,15.00,100.00,205.00,0.00,0.00,0.00,0.00,10.00,0.00,40.00,0.00,35.00,15.00,10.00,0.00,100.00,1605.00,45.00,195.00,40.00,0.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,125.00,495.00,0.00,170.00,45.00,0.00,15.00,0.00,0.00,90.00,0.00,0.00,0.00,45990.00,22860.00,12965.00,10160.00,17055.00,7135.00,2785.00,4345.00,6275.00,3305.00,350.00,17155.00,17155.00,38475.00,38470.00,19165.00,19165.00
"M1G","M1G",29690.00,29690.00,38.60,100.00,9765.00,29450.00,3.00,24100.00,29555.00,23870.00,23870.00,23875.00,23870.00,9770.00,9765.00,23.70,6980.00,28.70,8460.00,29585.00,24620.00,5965.00,18650.00,4965.00,29590.00,11995.00,16575.00,2350.00,2035.00,4430.00,5155.00,2560.00,2590.00,2610.00,1015.00,16580.00,1235.00,2555.00,3465.00,7165.00,2155.00,16580.00,2785.00,45.00,20.00,45.00,1040.00,20.00,740.00,55.00,0.00,260.00,110.00,435.00,1550.00,0.00,10.00,15.00,115.00,210.00,50.00,30.00,150.00,20.00,120.00,30.00,90.00,35.00,10.00,25.00,355.00,285.00,765.00,10.00,75.00,145.00,35.00,0.00,155.00,35.00,80.00,235.00,11405.00,380.00,520.00,365.00,120.00,3745.00,75.00,115.00,20.00,55.00,70.00,905.00,1640.00,2840.00,55.00,20.00,110.00,370.00,70.00,2605.00,200.00,0.00,0.00,15.00,10.00,50.00,0.00,20.00,0.00,105.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,210.00,0.00,0.00,15.00,0.00,20.00,10.00,10.00,0.00,105.00,0.00,35.00,0.00,15.00,2125.00,75.00,40.00,50.00,0.00,1095.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,135.00,265.00,10.00,335.00,40.00,0.00,0.00,15.00,15.00,15.00,10.00,0.00,10.00,29585.00,17640.00,8135.00,3805.00,14350.00,5580.00,2250.00,3330.00,5655.00,2825.00,290.00,9825.00,9825.00,24005.00,24010.00,11330.00,11330.00
"M1H","M1H",24383.00,24385.00,39.90,100.00,8985.00,24155.00,2.70,20510.00,24360.00,20290.00,20290.00,20290.00,20290.00,8985.00,8985.00,19.60,4735.00,23.80,5750.00,24100.00,19675.00,4025.00,15650.00,4425.00,24100.00,8985.00,13970.00,2180.00,1750.00,3540.00,4215.00,2155.00,2060.00,2285.00,1150.00,13970.00,980.00,2160.00,2975.00,6265.00,1600.00,13970.00,1955.00,10.00,30.00,20.00,590.00,35.00,530.00,25.00,0.00,310.00,100.00,300.00,1325.00,0.00,35.00,20.00,110.00,220.00,15.00,20.00,155.00,10.00,85.00,50.00,45.00,35.00,70.00,10.00,280.00,160.00,535.00,0.00,25.00,55.00,40.00,25.00,50.00,95.00,10.00,240.00,10130.00,435.00,310.00,1260.00,550.00,2830.00,65.00,65.00,20.00,120.00,10.00,565.00,1635.00,1650.00,40.00,100.00,95.00,395.00,30.00,2290.00,205.00,0.00,15.00,10.00,15.00,75.00,15.00,15.00,10.00,45.00,30.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,50.00,1975.00,120.00,65.00,225.00,10.00,940.00,15.00,0.00,0.00,0.00,10.00,0.00,15.00,140.00,255.00,0.00,125.00,0.00,10.00,10.00,15.00,0.00,20.00,0.00,0.00,0.00,24100.00,15190.00,6100.00,2810.00,11960.00,5770.00,2340.00,3435.00,3915.00,2140.00,135.00,8930.00,8930.00,20195.00,20195.00,10695.00,10690.00
"M1J","M1J",36699.00,36700.00,38.10,100.00,12275.00,36155.00,2.90,29490.00,36480.00,28955.00,28960.00,28960.00,28960.00,12275.00,12270.00,21.80,7880.00,27.40,9910.00,36200.00,30185.00,7585.00,22595.00,6020.00,36200.00,14745.00,20580.00,3115.00,2370.00,4985.00,6375.00,3155.00,3215.00,3745.00,875.00,20580.00,1640.00,3340.00,4435.00,9095.00,2070.00,20585.00,4800.00,0.00,60.00,75.00,1320.00,270.00,1250.00,25.00,10.00,665.00,235.00,885.00,2040.00,10.00,35.00,25.00,175.00,325.00,45.00,25.00,245.00,15.00,130.00,105.00,80.00,25.00,70.00,25.00,265.00,440.00,1290.00,10.00,50.00,340.00,65.00,0.00,115.00,55.00,40.00,625.00,12405.00,725.00,1165.00,310.00,70.00,1630.00,105.00,10.00,40.00,50.00,15.00,1030.00,3385.00,2895.00,105.00,10.00,140.00,730.00,45.00,3745.00,570.00,0.00,25.00,20.00,120.00,135.00,0.00,65.00,10.00,205.00,145.00,15.00,30.00,0.00,0.00,10.00,0.00,10.00,30.00,55.00,370.00,0.00,45.00,40.00,0.00,10.00,15.00,125.00,0.00,30.00,0.00,0.00,0.00,95.00,2655.00,265.00,315.00,55.00,0.00,600.00,25.00,0.00,0.00,15.00,0.00,0.00,90.00,145.00,665.00,20.00,295.00,45.00,0.00,0.00,40.00,0.00,60.00,0.00,10.00,0.00,36200.00,21595.00,9695.00,4910.00,17635.00,6875.00,2865.00,4010.00,6055.00,4370.00,330.00,12235.00,12230.00,29075.00,29080.00,14760.00,14765.00
"M1K","M1K",48434.00,48435.00,39.90,100.00,17930.00,48300.00,2.70,40215.00,48320.00,40085.00,40085.00,40090.00,40090.00,17930.00,17930.00,20.10,9720.00,24.60,11905.00,48265.00,40885.00,8970.00,31915.00,7380.00,48265.00,20300.00,26745.00,4695.00,3365.00,6740.00,7990.00,3700.00,4290.00,3960.00,1220.00,26745.00,1855.00,3895.00,5500.00,12555.00,2930.00,26745.00,4400.00,35.00,35.00,140.00,1530.00,30.00,1040.00,25.00,10.00,595.00,190.00,765.00,3430.00,40.00,55.00,45.00,115.00,895.00,95.00,40.00,415.00,30.00,100.00,130.00,155.00,65.00,85.00,10.00,495.00,655.00,1810.00,25.00,55.00,545.00,110.00,35.00,70.00,185.00,10.00,760.00,17065.00,250.00,2190.00,1075.00,360.00,1845.00,115.00,80.00,90.00,55.00,125.00,895.00,5575.00,2960.00,70.00,60.00,375.00,965.00,45.00,3955.00,270.00,0.00,10.00,0.00,15.00,55.00,0.00,40.00,0.00,155.00,140.00,20.00,0.00,10.00,0.00,20.00,0.00,0.00,10.00,85.00,340.00,0.00,0.00,10.00,0.00,20.00,75.00,110.00,10.00,20.00,15.00,0.00,25.00,50.00,3200.00,50.00,485.00,80.00,0.00,675.00,15.00,10.00,0.00,15.00,0.00,10.00,120.00,90.00,1085.00,15.00,385.00,30.00,0.00,10.00,15.00,15.00,100.00,10.00,0.00,0.00,48265.00,28115.00,12510.00,7635.00,22300.00,9315.00,4200.00,5115.00,8365.00,4235.00,385.00,17935.00,17935.00,40035.00,40035.00,21000.00,21005.00
"M1L","M1L",35081.00,35085.00,38.30,100.00,12425.00,34220.00,2.80,28565.00,34265.00,27715.00,27720.00,27715.00,27715.00,12425.00,12425.00,22.80,7790.00,27.70,9465.00,34150.00,28865.00,6965.00,21900.00,5285.00,34145.00,15465.00,17820.00,2485.00,1825.00,4345.00,5930.00,3095.00,2830.00,3240.00,855.00,17825.00,1550.00,2860.00,3300.00,8455.00,1655.00,17820.00,2075.00,25.00,85.00,55.00,400.00,10.00,440.00,55.00,10.00,375.00,180.00,445.00,2090.00,35.00,10.00,10.00,75.00,395.00,10.00,55.00,285.00,10.00,90.00,85.00,100.00,60.00,25.00,30.00,400.00,415.00,1650.00,10.00,85.00,535.00,35.00,25.00,60.00,95.00,50.00,760.00,12010.00,400.00,3925.00,1295.00,195.00,880.00,160.00,45.00,40.00,80.00,50.00,1100.00,2355.00,545.00,35.00,30.00,165.00,700.00,0.00,3240.00,180.00,10.00,25.00,10.00,10.00,20.00,15.00,10.00,15.00,75.00,90.00,0.00,10.00,15.00,0.00,10.00,0.00,15.00,10.00,40.00,275.00,0.00,0.00,10.00,10.00,10.00,75.00,120.00,0.00,10.00,0.00,0.00,0.00,55.00,2700.00,145.00,1270.00,165.00,10.00,315.00,60.00,10.00,0.00,0.00,0.00,10.00,60.00,195.00,365.00,0.00,25.00,30.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00,0.00,34150.00,18815.00,9095.00,6235.00,15530.00,7555.00,3170.00,4385.00,4815.00,2960.00,205.00,12410.00,12405.00,27635.00,27635.00,14910.00,14910.00
"M1M","M1M",22913.00,22910.00,42.60,100.00,8620.00,22500.00,2.60,19365.00,22685.00,18975.00,18975.00,18980.00,18980.00,8625.00,8620.00,15.30,3435.00,18.70,4215.00,22590.00,20745.00,4165.00,16580.00,1840.00,22590.00,13220.00,9125.00,2350.00,1295.00,2080.00,2410.00,1235.00,1175.00,985.00,245.00,9125.00,765.00,1690.00,1840.00,3830.00,995.00,9130.00,1670.00,10.00,30.00,30.00,505.00,30.00,300.00,40.00,10.00,325.00,170.00,215.00,1970.00,15.00,20.00,25.00,135.00,215.00,40.00,45.00,255.00,55.00,190.00,70.00,60.00,60.00,10.00,40.00,460.00,275.00,365.00,0.00,20.00,110.00,15.00,15.00,10.00,50.00,20.00,120.00,5080.00,115.00,1240.00,500.00,165.00,490.00,115.00,55.00,40.00,35.00,20.00,230.00,915.00,725.00,10.00,30.00,110.00,290.00,50.00,985.00,115.00,0.00,0.00,10.00,20.00,10.00,0.00,25.00,0.00,55.00,60.00,0.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,20.00,60.00,0.00,0.00,10.00,0.00,0.00,0.00,25.00,10.00,0.00,10.00,0.00,0.00,0.00,740.00,0.00,180.00,85.00,10.00,95.00,20.00,0.00,0.00,10.00,0.00,10.00,20.00,40.00,220.00,0.00,30.00,0.00,0.00,0.00,10.00,0.00,25.00,0.00,10.00,0.00,22590.00,9445.00,5980.00,7165.00,6880.00,3450.00,1375.00,2070.00,2190.00,1100.00,140.00,8680.00,8680.00,19035.00,19035.00,9775.00,9775.00
"M1N","M1N",22136.00,22140.00,43.00,100.00,9095.00,21530.00,2.40,18825.00,21710.00,18225.00,18225.00,18220.00,18220.00,9095.00,9095.00,12.90,2775.00,14.60,3145.00,21530.00,20155.00,3815.00,16335.00,1375.00,21530.00,15215.00,6125.00,2320.00,835.00,1105.00,1375.00,640.00,735.00,500.00,190.00,6125.00,660.00,1175.00,1370.00,2530.00,390.00,6125.00,965.00,10.00,40.00,35.00,105.00,10.00,190.00,25.00,0.00,105.00,240.00,195.00,2165.00,40.00,25.00,30.00,145.00,120.00,55.00,130.00,150.00,40.00,65.00,80.00,85.00,85.00,15.00,55.00,825.00,220.00,300.00,0.00,35.00,50.00,20.00,10.00,25.00,10.00,25.00,130.00,2680.00,30.00,650.00,400.00,125.00,175.00,50.00,15.00,35.00,30.00,15.00,65.00,660.00,105.00,0.00,10.00,180.00,135.00,20.00,500.00,90.00,0.00,20.00,0.00,10.00,10.00,0.00,40.00,0.00,10.00,90.00,0.00,0.00,10.00,0.00,20.00,0.00,15.00,30.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,20.00,275.00,0.00,35.00,15.00,0.00,35.00,20.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,90.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,21530.00,6405.00,5865.00,9265.00,3960.00,1890.00,805.00,1085.00,1355.00,665.00,45.00,9100.00,9100.00,18215.00,18215.00,10060.00,10060.00
