,2020-01-23,2020-02-21,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,Grand Total
M1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,2,6,1,1,1,1,1,3,0,5,2,1,3,4,6,1,3,4,4,4,7,5,1,1,7,10,3,7,3,9,5,2,3,4,4,5,3,3,3,7,3,2,3,4,2,1,4,2,1,3,0,2,4,2,4,1,4,2,1,2,3,5,0,8,3,3,2,1,4,4,4,1,6,1,0,1,1,3,1,3,0,0,1,2,0,2,4,1,0,1,0,2,0,1,6,2,8,1,3,0,2,1,1,1,0,3,2,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,4,1,0,0,1,2,0,1,1,1,1,1,3,3,6,2,1,2,0,1,2,1,0,1,2,4,4,6,5,3,4,12,0,7,1,8,4,6,7,10,6,4,6,0,456
M1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,0,0,1,0,1,5,2,1,10,4,10,4,9,13,0,1,8,14,2,18,1,2,0,3,31,1,4,1,0,0,0,0,1,4,0,0,2,5,1,7,1,2,0,1,0,0,0,0,0,1,3,1,1,0,0,0,1,0,4,3,1,3,5,5,1,1,1,0,1,1,5,0,2,0,0,0,2,1,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,2,0,2,5,0,0,2,2,4,1,276
M1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,2,0,4,0,0,1,4,6,0,6,10,1,2,4,5,23,24,5,2,3,12,0,2,3,3,13,4,2,3,1,8,10,5,9,4,2,5,4,32,2,7,2,4,6,4,3,1,2,4,1,12,11,6,1,8,11,2,6,10,6,2,3,4,0,3,5,7,4,4,1,8,4,3,0,2,8,11,3,0,6,3,0,3,1,3,4,0,1,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,1,0,1,1,0,1,3,2,0,0,3,7,5,4,4,3,4,0,8,6,3,4,2,2,536
M1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,0,1,4,2,1,2,1,0,2,2,0,4,5,1,5,1,3,1,2,1,0,2,3,1,0,3,4,2,11,0,2,2,10,0,8,0,4,1,18,9,7,7,5,1,2,6,1,3,0,3,4,3,3,1,4,0,3,5,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,3,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,2,0,0,2,0,5,1,2,2,1,1,0,0,1,0,1,0,1,1,0,4,1,2,2,1,3,1,3,0,10,4,2,281
M1H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,3,0,1,1,1,0,0,2,1,1,2,1,1,2,2,3,0,3,1,1,3,0,3,3,2,0,0,0,0,0,0,0,1,1,3,2,1,0,2,0,0,3,2,1,2,2,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,3,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,4,3,1,7,5,1,1,0,0,131
M1J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,2,1,2,2,1,0,3,1,2,2,5,3,2,2,3,2,1,3,1,0,0,5,1,4,4,2,0,4,2,0,1,4,3,1,1,1,0,4,1,0,1,2,1,1,2,2,2,2,1,2,2,5,3,1,1,3,3,6,2,0,5,2,1,3,4,0,2,0,3,0,0,3,1,0,1,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,1,1,1,1,1,3,0,1,0,1,3,1,0,1,2,0,2,2,3,2,3,3,3,3,0,3,2,0,5,8,3,4,1,0,243
M1K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,0,0,1,0,0,0,5,1,1,2,0,1,2,0,2,1,2,2,3,1,0,2,0,3,2,2,7,5,3,3,3,4,2,2,0,5,2,4,2,2,2,1,1,2,0,1,2,2,4,2,2,3,1,1,3,0,5,6,8,6,3,8,4,8,4,6,4,6,4,1,4,4,2,3,1,3,2,2,7,1,0,1,2,0,0,1,1,1,2,1,1,1,2,0,0,0,2,1,2,0,0,0,2,2,0,1,4,0,0,0,0,1,1,0,0,1,1,6,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,6,1,0,0,1,3,2,2,0,3,7,2,0,0,2,1,2,1,1,6,1,4,1,0,2,2,1,4,1,8,2,11,5,16,5,2,3,2,379
M1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,8,0,2,5,3,1,2,4,5,4,2,12,1,3,7,0,4,4,1,8,9,1,4,9,1,4,2,1,9,3,2,6,4,3,2,7,1,0,1,0,9,3,3,1,1,0,1,1,2,0,2,0,3,0,1,2,3,1,1,0,0,0,1,0,0,0,0,1,4,0,0,1,5,0,2,3,0,1,2,0,3,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,2,1,1,5,4,10,3,3,2,3,2,2,2,0,281
M1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,2,0,0,2,1,1,0,1,0,0,0,2,0,3,1,1,0,1,0,0,2,1,1,1,4,2,1,1,4,0,1,1,1,0,1,4,1,5,3,1,0,0,1,3,3,2,0,2,0,2,2,1,0,0,1,3,5,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,1,2,2,0,123
M1N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,2,0,0,2,1,0,0,0,1,1,1,2,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,2,0,7,15,2,0,2,1,3,1,37,7,5,6,1,3,4,3,1,2,0,3,4,1,9,5,0,1,0,0,3,0,2,1,5,0,0,4,1,0,0,0,5,4,1,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,2,0,0,3,0,0,1,3,0,4,1,1,2,1,1,1,0,2,2,0,0,220
