,numactive
2020-01-31,4.0
2020-02-01,4.0
2020-02-02,4.0
2020-02-03,4.0
2020-02-04,4.0
2020-02-05,4.0
2020-02-06,4.0
2020-02-07,4.0
2020-02-08,7.0
2020-02-09,7.0
2020-02-10,7.0
2020-02-11,7.0
2020-02-12,7.0
2020-02-13,7.0
2020-02-14,7.0
2020-02-15,7.0
2020-02-16,8.0
2020-02-17,8.0
2020-02-18,8.0
2020-02-19,8.0
2020-02-20,8.0
2020-02-21,9.0
2020-02-22,9.0
2020-02-23,9.0
2020-02-24,10.0
2020-02-25,11.0
2020-02-26,12.0
2020-02-27,13.0
2020-02-28,13.0
2020-02-29,15.0
2020-03-01,24.0
2020-03-02,24.0
2020-03-03,33.0
2020-03-04,33.0
2020-03-05,45.0
2020-03-06,51.0
2020-03-07,57.0
2020-03-08,61.0
2020-03-09,76.0
2020-03-10,76.0
2020-03-11,101.0
2020-03-12,139.0
2020-03-13,177.0
2020-03-14,197.0
2020-03-15,251.0
2020-03-16,336.0
2020-03-17,432.0
2020-03-18,588.0
2020-03-19,861.0
2020-03-20,991.0
2020-03-21,1353.0
2020-03-22,1451.0
2020-03-23,2067.0
2020-03-24,2765.0
2020-03-25,3374.0
2020-03-26,3774.0
2020-03-27,4380.0
2020-03-28,4864.0
2020-03-29,5675.0
2020-03-30,6280.0
2020-03-31,7198.0
2020-04-01,7951.0
2020-04-02,9162.0
2020-04-03,12350.0
2020-04-04,13673.0
2020-04-05,12897.0
2020-04-06,12728.0
2020-04-07,17517.0
2020-04-08,18854.0
2020-04-09,20256.0
2020-04-10,21579.0
2020-04-11,22665.0
2020-04-12,23666.0
2020-04-13,24900.0
2020-04-14,26160.0
2020-04-15,27371.0
2020-04-16,28899.0
2020-04-17,30575.0
2020-04-18,20709.0
2020-04-19,21420.0
2020-04-20,22556.0
2020-04-21,23400.0
2020-04-22,24230.0
2020-04-23,25203.0
2020-04-24,26045.0
2020-04-25,26464.0
2020-04-26,27014.0
2020-04-27,27525.0
2020-04-28,27936.0
2020-04-29,28274.0
2020-04-30,28628.0
2020-05-01,28919.0
2020-05-02,29347.0
2020-05-03,30884.0
2020-05-04,30901.0
2020-05-05,31010.0
2020-05-06,31093.0
2020-05-07,31267.0
2020-05-08,31639.0
2020-05-09,31760.0
2020-05-10,31881.0
2020-05-11,31994.0
2020-05-12,31946.0
2020-05-13,31810.0
2020-05-14,31925.0
2020-05-15,32156.0
2020-05-16,32366.0
2020-05-17,32670.0
2020-05-18,32992.0
2020-05-19,33150.0
2020-05-20,33400.0
2020-05-21,33444.0
2020-05-22,33623.0
2020-05-23,33948.0
2020-05-24,34277.0
2020-05-25,34515.0
2020-05-26,34656.0
2020-05-27,34577.0
2020-05-28,34782.0
2020-05-29,34906.0
2020-05-30,35001.0
2020-05-31,34760.0
2020-06-01,34640.0
2020-06-02,34658.0
2020-06-03,34539.0
2020-06-04,34350.0
2020-06-05,34064.0
2020-06-06,33670.0
2020-06-07,33666.0
2020-06-08,33576.0
2020-06-09,33184.0
2020-06-10,32526.0
2020-06-11,31878.0
2020-06-12,31371.0
2020-06-13,30949.0
2020-06-14,30369.0
